3D Run ID,Shift,h,swA,swB,tet
1,4,0.5,1,1,1.22173
2,4,2.4,1,1,1.22173
3,4,4.3,1,1,1.22173
4,4,6.2,1,1,1.22173
5,4,8.1,1,1,1.22173
6,4,10,1,1,1.22173
7,4,0.5,1,3.26667,1.22173
8,4,2.4,1,3.26667,1.22173
9,4,4.3,1,3.26667,1.22173
10,4,6.2,1,3.26667,1.22173
11,4,8.1,1,3.26667,1.22173
12,4,10,1,3.26667,1.22173
13,4,0.5,1,5.53333,1.22173
14,4,2.4,1,5.53333,1.22173
15,4,4.3,1,5.53333,1.22173
16,4,6.2,1,5.53333,1.22173
17,4,8.1,1,5.53333,1.22173
18,4,10,1,5.53333,1.22173
19,4,0.5,1,7.8,1.22173
20,4,2.4,1,7.8,1.22173
21,4,4.3,1,7.8,1.22173
22,4,6.2,1,7.8,1.22173
23,4,8.1,1,7.8,1.22173
24,4,10,1,7.8,1.22173
25,4,0.5,3.26667,1,1.22173
26,4,2.4,3.26667,1,1.22173
27,4,4.3,3.26667,1,1.22173
28,4,6.2,3.26667,1,1.22173
29,4,8.1,3.26667,1,1.22173
30,4,10,3.26667,1,1.22173
31,4,0.5,3.26667,3.26667,1.22173
32,4,2.4,3.26667,3.26667,1.22173
33,4,4.3,3.26667,3.26667,1.22173
34,4,6.2,3.26667,3.26667,1.22173
35,4,8.1,3.26667,3.26667,1.22173
36,4,10,3.26667,3.26667,1.22173
37,4,0.5,3.26667,5.53333,1.22173
38,4,2.4,3.26667,5.53333,1.22173
39,4,4.3,3.26667,5.53333,1.22173
40,4,6.2,3.26667,5.53333,1.22173
41,4,8.1,3.26667,5.53333,1.22173
42,4,10,3.26667,5.53333,1.22173
43,4,0.5,3.26667,7.8,1.22173
44,4,2.4,3.26667,7.8,1.22173
45,4,4.3,3.26667,7.8,1.22173
46,4,6.2,3.26667,7.8,1.22173
47,4,8.1,3.26667,7.8,1.22173
48,4,10,3.26667,7.8,1.22173
49,4,0.5,5.53333,1,1.22173
50,4,2.4,5.53333,1,1.22173
51,4,4.3,5.53333,1,1.22173
52,4,6.2,5.53333,1,1.22173
53,4,8.1,5.53333,1,1.22173
54,4,10,5.53333,1,1.22173
55,4,0.5,5.53333,3.26667,1.22173
56,4,2.4,5.53333,3.26667,1.22173
57,4,4.3,5.53333,3.26667,1.22173
58,4,6.2,5.53333,3.26667,1.22173
59,4,8.1,5.53333,3.26667,1.22173
60,4,10,5.53333,3.26667,1.22173
61,4,0.5,5.53333,5.53333,1.22173
62,4,2.4,5.53333,5.53333,1.22173
63,4,4.3,5.53333,5.53333,1.22173
64,4,6.2,5.53333,5.53333,1.22173
65,4,8.1,5.53333,5.53333,1.22173
66,4,10,5.53333,5.53333,1.22173
67,4,0.5,5.53333,7.8,1.22173
68,4,2.4,5.53333,7.8,1.22173
69,4,4.3,5.53333,7.8,1.22173
70,4,6.2,5.53333,7.8,1.22173
71,4,8.1,5.53333,7.8,1.22173
72,4,10,5.53333,7.8,1.22173
73,4,0.5,7.8,1,1.22173
74,4,2.4,7.8,1,1.22173
75,4,4.3,7.8,1,1.22173
76,4,6.2,7.8,1,1.22173
77,4,8.1,7.8,1,1.22173
78,4,10,7.8,1,1.22173
79,4,0.5,7.8,3.26667,1.22173
80,4,2.4,7.8,3.26667,1.22173
81,4,4.3,7.8,3.26667,1.22173
82,4,6.2,7.8,3.26667,1.22173
83,4,8.1,7.8,3.26667,1.22173
84,4,10,7.8,3.26667,1.22173
85,4,0.5,7.8,5.53333,1.22173
86,4,2.4,7.8,5.53333,1.22173
87,4,4.3,7.8,5.53333,1.22173
88,4,6.2,7.8,5.53333,1.22173
89,4,8.1,7.8,5.53333,1.22173
90,4,10,7.8,5.53333,1.22173
91,4,0.5,7.8,7.8,1.22173
92,4,2.4,7.8,7.8,1.22173
93,4,4.3,7.8,7.8,1.22173
94,4,6.2,7.8,7.8,1.22173
95,4,8.1,7.8,7.8,1.22173
96,4,10,7.8,7.8,1.22173
97,4,0.5,1,1,1.25664
98,4,2.4,1,1,1.25664
99,4,4.3,1,1,1.25664
100,4,6.2,1,1,1.25664
101,4,8.1,1,1,1.25664
102,4,10,1,1,1.25664
103,4,0.5,1,3.26667,1.25664
104,4,2.4,1,3.26667,1.25664
105,4,4.3,1,3.26667,1.25664
106,4,6.2,1,3.26667,1.25664
107,4,8.1,1,3.26667,1.25664
108,4,10,1,3.26667,1.25664
109,4,0.5,1,5.53333,1.25664
110,4,2.4,1,5.53333,1.25664
111,4,4.3,1,5.53333,1.25664
112,4,6.2,1,5.53333,1.25664
113,4,8.1,1,5.53333,1.25664
114,4,10,1,5.53333,1.25664
115,4,0.5,1,7.8,1.25664
116,4,2.4,1,7.8,1.25664
117,4,4.3,1,7.8,1.25664
118,4,6.2,1,7.8,1.25664
119,4,8.1,1,7.8,1.25664
120,4,10,1,7.8,1.25664
121,4,0.5,3.26667,1,1.25664
122,4,2.4,3.26667,1,1.25664
123,4,4.3,3.26667,1,1.25664
124,4,6.2,3.26667,1,1.25664
125,4,8.1,3.26667,1,1.25664
126,4,10,3.26667,1,1.25664
127,4,0.5,3.26667,3.26667,1.25664
128,4,2.4,3.26667,3.26667,1.25664
129,4,4.3,3.26667,3.26667,1.25664
130,4,6.2,3.26667,3.26667,1.25664
131,4,8.1,3.26667,3.26667,1.25664
132,4,10,3.26667,3.26667,1.25664
133,4,0.5,3.26667,5.53333,1.25664
134,4,2.4,3.26667,5.53333,1.25664
135,4,4.3,3.26667,5.53333,1.25664
136,4,6.2,3.26667,5.53333,1.25664
137,4,8.1,3.26667,5.53333,1.25664
138,4,10,3.26667,5.53333,1.25664
139,4,0.5,3.26667,7.8,1.25664
140,4,2.4,3.26667,7.8,1.25664
141,4,4.3,3.26667,7.8,1.25664
142,4,6.2,3.26667,7.8,1.25664
143,4,8.1,3.26667,7.8,1.25664
144,4,10,3.26667,7.8,1.25664
145,4,0.5,5.53333,1,1.25664
146,4,2.4,5.53333,1,1.25664
147,4,4.3,5.53333,1,1.25664
148,4,6.2,5.53333,1,1.25664
149,4,8.1,5.53333,1,1.25664
150,4,10,5.53333,1,1.25664
151,4,0.5,5.53333,3.26667,1.25664
152,4,2.4,5.53333,3.26667,1.25664
153,4,4.3,5.53333,3.26667,1.25664
154,4,6.2,5.53333,3.26667,1.25664
155,4,8.1,5.53333,3.26667,1.25664
156,4,10,5.53333,3.26667,1.25664
157,4,0.5,5.53333,5.53333,1.25664
158,4,2.4,5.53333,5.53333,1.25664
159,4,4.3,5.53333,5.53333,1.25664
160,4,6.2,5.53333,5.53333,1.25664
161,4,8.1,5.53333,5.53333,1.25664
162,4,10,5.53333,5.53333,1.25664
163,4,0.5,5.53333,7.8,1.25664
164,4,2.4,5.53333,7.8,1.25664
165,4,4.3,5.53333,7.8,1.25664
166,4,6.2,5.53333,7.8,1.25664
167,4,8.1,5.53333,7.8,1.25664
168,4,10,5.53333,7.8,1.25664
169,4,0.5,7.8,1,1.25664
170,4,2.4,7.8,1,1.25664
171,4,4.3,7.8,1,1.25664
172,4,6.2,7.8,1,1.25664
173,4,8.1,7.8,1,1.25664
174,4,10,7.8,1,1.25664
175,4,0.5,7.8,3.26667,1.25664
176,4,2.4,7.8,3.26667,1.25664
177,4,4.3,7.8,3.26667,1.25664
178,4,6.2,7.8,3.26667,1.25664
179,4,8.1,7.8,3.26667,1.25664
180,4,10,7.8,3.26667,1.25664
181,4,0.5,7.8,5.53333,1.25664
182,4,2.4,7.8,5.53333,1.25664
183,4,4.3,7.8,5.53333,1.25664
184,4,6.2,7.8,5.53333,1.25664
185,4,8.1,7.8,5.53333,1.25664
186,4,10,7.8,5.53333,1.25664
187,4,0.5,7.8,7.8,1.25664
188,4,2.4,7.8,7.8,1.25664
189,4,4.3,7.8,7.8,1.25664
190,4,6.2,7.8,7.8,1.25664
191,4,8.1,7.8,7.8,1.25664
192,4,10,7.8,7.8,1.25664
193,4,0.5,1,1,1.29154
194,4,2.4,1,1,1.29154
195,4,4.3,1,1,1.29154
196,4,6.2,1,1,1.29154
197,4,8.1,1,1,1.29154
198,4,10,1,1,1.29154
199,4,0.5,1,3.26667,1.29154
200,4,2.4,1,3.26667,1.29154
201,4,4.3,1,3.26667,1.29154
202,4,6.2,1,3.26667,1.29154
203,4,8.1,1,3.26667,1.29154
204,4,10,1,3.26667,1.29154
205,4,0.5,1,5.53333,1.29154
206,4,2.4,1,5.53333,1.29154
207,4,4.3,1,5.53333,1.29154
208,4,6.2,1,5.53333,1.29154
209,4,8.1,1,5.53333,1.29154
210,4,10,1,5.53333,1.29154
211,4,0.5,1,7.8,1.29154
212,4,2.4,1,7.8,1.29154
213,4,4.3,1,7.8,1.29154
214,4,6.2,1,7.8,1.29154
215,4,8.1,1,7.8,1.29154
216,4,10,1,7.8,1.29154
217,4,0.5,3.26667,1,1.29154
218,4,2.4,3.26667,1,1.29154
219,4,4.3,3.26667,1,1.29154
220,4,6.2,3.26667,1,1.29154
221,4,8.1,3.26667,1,1.29154
222,4,10,3.26667,1,1.29154
223,4,0.5,3.26667,3.26667,1.29154
224,4,2.4,3.26667,3.26667,1.29154
225,4,4.3,3.26667,3.26667,1.29154
226,4,6.2,3.26667,3.26667,1.29154
227,4,8.1,3.26667,3.26667,1.29154
228,4,10,3.26667,3.26667,1.29154
229,4,0.5,3.26667,5.53333,1.29154
230,4,2.4,3.26667,5.53333,1.29154
231,4,4.3,3.26667,5.53333,1.29154
232,4,6.2,3.26667,5.53333,1.29154
233,4,8.1,3.26667,5.53333,1.29154
234,4,10,3.26667,5.53333,1.29154
235,4,0.5,3.26667,7.8,1.29154
236,4,2.4,3.26667,7.8,1.29154
237,4,4.3,3.26667,7.8,1.29154
238,4,6.2,3.26667,7.8,1.29154
239,4,8.1,3.26667,7.8,1.29154
240,4,10,3.26667,7.8,1.29154
241,4,0.5,5.53333,1,1.29154
242,4,2.4,5.53333,1,1.29154
243,4,4.3,5.53333,1,1.29154
244,4,6.2,5.53333,1,1.29154
245,4,8.1,5.53333,1,1.29154
246,4,10,5.53333,1,1.29154
247,4,0.5,5.53333,3.26667,1.29154
248,4,2.4,5.53333,3.26667,1.29154
249,4,4.3,5.53333,3.26667,1.29154
250,4,6.2,5.53333,3.26667,1.29154
251,4,8.1,5.53333,3.26667,1.29154
252,4,10,5.53333,3.26667,1.29154
253,4,0.5,5.53333,5.53333,1.29154
254,4,2.4,5.53333,5.53333,1.29154
255,4,4.3,5.53333,5.53333,1.29154
256,4,6.2,5.53333,5.53333,1.29154
257,4,8.1,5.53333,5.53333,1.29154
258,4,10,5.53333,5.53333,1.29154
259,4,0.5,5.53333,7.8,1.29154
260,4,2.4,5.53333,7.8,1.29154
261,4,4.3,5.53333,7.8,1.29154
262,4,6.2,5.53333,7.8,1.29154
263,4,8.1,5.53333,7.8,1.29154
264,4,10,5.53333,7.8,1.29154
265,4,0.5,7.8,1,1.29154
266,4,2.4,7.8,1,1.29154
267,4,4.3,7.8,1,1.29154
268,4,6.2,7.8,1,1.29154
269,4,8.1,7.8,1,1.29154
270,4,10,7.8,1,1.29154
271,4,0.5,7.8,3.26667,1.29154
272,4,2.4,7.8,3.26667,1.29154
273,4,4.3,7.8,3.26667,1.29154
274,4,6.2,7.8,3.26667,1.29154
275,4,8.1,7.8,3.26667,1.29154
276,4,10,7.8,3.26667,1.29154
277,4,0.5,7.8,5.53333,1.29154
278,4,2.4,7.8,5.53333,1.29154
279,4,4.3,7.8,5.53333,1.29154
280,4,6.2,7.8,5.53333,1.29154
281,4,8.1,7.8,5.53333,1.29154
282,4,10,7.8,5.53333,1.29154
283,4,0.5,7.8,7.8,1.29154
284,4,2.4,7.8,7.8,1.29154
285,4,4.3,7.8,7.8,1.29154
286,4,6.2,7.8,7.8,1.29154
287,4,8.1,7.8,7.8,1.29154
288,4,10,7.8,7.8,1.29154
289,4,0.5,1,1,1.32645
290,4,2.4,1,1,1.32645
291,4,4.3,1,1,1.32645
292,4,6.2,1,1,1.32645
293,4,8.1,1,1,1.32645
294,4,10,1,1,1.32645
295,4,0.5,1,3.26667,1.32645
296,4,2.4,1,3.26667,1.32645
297,4,4.3,1,3.26667,1.32645
298,4,6.2,1,3.26667,1.32645
299,4,8.1,1,3.26667,1.32645
300,4,10,1,3.26667,1.32645
301,4,0.5,1,5.53333,1.32645
302,4,2.4,1,5.53333,1.32645
303,4,4.3,1,5.53333,1.32645
304,4,6.2,1,5.53333,1.32645
305,4,8.1,1,5.53333,1.32645
306,4,10,1,5.53333,1.32645
307,4,0.5,1,7.8,1.32645
308,4,2.4,1,7.8,1.32645
309,4,4.3,1,7.8,1.32645
310,4,6.2,1,7.8,1.32645
311,4,8.1,1,7.8,1.32645
312,4,10,1,7.8,1.32645
313,4,0.5,3.26667,1,1.32645
314,4,2.4,3.26667,1,1.32645
315,4,4.3,3.26667,1,1.32645
316,4,6.2,3.26667,1,1.32645
317,4,8.1,3.26667,1,1.32645
318,4,10,3.26667,1,1.32645
319,4,0.5,3.26667,3.26667,1.32645
320,4,2.4,3.26667,3.26667,1.32645
321,4,4.3,3.26667,3.26667,1.32645
322,4,6.2,3.26667,3.26667,1.32645
323,4,8.1,3.26667,3.26667,1.32645
324,4,10,3.26667,3.26667,1.32645
325,4,0.5,3.26667,5.53333,1.32645
326,4,2.4,3.26667,5.53333,1.32645
327,4,4.3,3.26667,5.53333,1.32645
328,4,6.2,3.26667,5.53333,1.32645
329,4,8.1,3.26667,5.53333,1.32645
330,4,10,3.26667,5.53333,1.32645
331,4,0.5,3.26667,7.8,1.32645
332,4,2.4,3.26667,7.8,1.32645
333,4,4.3,3.26667,7.8,1.32645
334,4,6.2,3.26667,7.8,1.32645
335,4,8.1,3.26667,7.8,1.32645
336,4,10,3.26667,7.8,1.32645
337,4,0.5,5.53333,1,1.32645
338,4,2.4,5.53333,1,1.32645
339,4,4.3,5.53333,1,1.32645
340,4,6.2,5.53333,1,1.32645
341,4,8.1,5.53333,1,1.32645
342,4,10,5.53333,1,1.32645
343,4,0.5,5.53333,3.26667,1.32645
344,4,2.4,5.53333,3.26667,1.32645
345,4,4.3,5.53333,3.26667,1.32645
346,4,6.2,5.53333,3.26667,1.32645
347,4,8.1,5.53333,3.26667,1.32645
348,4,10,5.53333,3.26667,1.32645
349,4,0.5,5.53333,5.53333,1.32645
350,4,2.4,5.53333,5.53333,1.32645
351,4,4.3,5.53333,5.53333,1.32645
352,4,6.2,5.53333,5.53333,1.32645
353,4,8.1,5.53333,5.53333,1.32645
354,4,10,5.53333,5.53333,1.32645
355,4,0.5,5.53333,7.8,1.32645
356,4,2.4,5.53333,7.8,1.32645
357,4,4.3,5.53333,7.8,1.32645
358,4,6.2,5.53333,7.8,1.32645
359,4,8.1,5.53333,7.8,1.32645
360,4,10,5.53333,7.8,1.32645
361,4,0.5,7.8,1,1.32645
362,4,2.4,7.8,1,1.32645
363,4,4.3,7.8,1,1.32645
364,4,6.2,7.8,1,1.32645
365,4,8.1,7.8,1,1.32645
366,4,10,7.8,1,1.32645
367,4,0.5,7.8,3.26667,1.32645
368,4,2.4,7.8,3.26667,1.32645
369,4,4.3,7.8,3.26667,1.32645
370,4,6.2,7.8,3.26667,1.32645
371,4,8.1,7.8,3.26667,1.32645
372,4,10,7.8,3.26667,1.32645
373,4,0.5,7.8,5.53333,1.32645
374,4,2.4,7.8,5.53333,1.32645
375,4,4.3,7.8,5.53333,1.32645
376,4,6.2,7.8,5.53333,1.32645
377,4,8.1,7.8,5.53333,1.32645
378,4,10,7.8,5.53333,1.32645
379,4,0.5,7.8,7.8,1.32645
380,4,2.4,7.8,7.8,1.32645
381,4,4.3,7.8,7.8,1.32645
382,4,6.2,7.8,7.8,1.32645
383,4,8.1,7.8,7.8,1.32645
384,4,10,7.8,7.8,1.32645
385,4,0.5,1,1,1.36136
386,4,2.4,1,1,1.36136
387,4,4.3,1,1,1.36136
388,4,6.2,1,1,1.36136
389,4,8.1,1,1,1.36136
390,4,10,1,1,1.36136
391,4,0.5,1,3.26667,1.36136
392,4,2.4,1,3.26667,1.36136
393,4,4.3,1,3.26667,1.36136
394,4,6.2,1,3.26667,1.36136
395,4,8.1,1,3.26667,1.36136
396,4,10,1,3.26667,1.36136
397,4,0.5,1,5.53333,1.36136
398,4,2.4,1,5.53333,1.36136
399,4,4.3,1,5.53333,1.36136
400,4,6.2,1,5.53333,1.36136
401,4,8.1,1,5.53333,1.36136
402,4,10,1,5.53333,1.36136
403,4,0.5,1,7.8,1.36136
404,4,2.4,1,7.8,1.36136
405,4,4.3,1,7.8,1.36136
406,4,6.2,1,7.8,1.36136
407,4,8.1,1,7.8,1.36136
408,4,10,1,7.8,1.36136
409,4,0.5,3.26667,1,1.36136
410,4,2.4,3.26667,1,1.36136
411,4,4.3,3.26667,1,1.36136
412,4,6.2,3.26667,1,1.36136
413,4,8.1,3.26667,1,1.36136
414,4,10,3.26667,1,1.36136
415,4,0.5,3.26667,3.26667,1.36136
416,4,2.4,3.26667,3.26667,1.36136
417,4,4.3,3.26667,3.26667,1.36136
418,4,6.2,3.26667,3.26667,1.36136
419,4,8.1,3.26667,3.26667,1.36136
420,4,10,3.26667,3.26667,1.36136
421,4,0.5,3.26667,5.53333,1.36136
422,4,2.4,3.26667,5.53333,1.36136
423,4,4.3,3.26667,5.53333,1.36136
424,4,6.2,3.26667,5.53333,1.36136
425,4,8.1,3.26667,5.53333,1.36136
426,4,10,3.26667,5.53333,1.36136
427,4,0.5,3.26667,7.8,1.36136
428,4,2.4,3.26667,7.8,1.36136
429,4,4.3,3.26667,7.8,1.36136
430,4,6.2,3.26667,7.8,1.36136
431,4,8.1,3.26667,7.8,1.36136
432,4,10,3.26667,7.8,1.36136
433,4,0.5,5.53333,1,1.36136
434,4,2.4,5.53333,1,1.36136
435,4,4.3,5.53333,1,1.36136
436,4,6.2,5.53333,1,1.36136
437,4,8.1,5.53333,1,1.36136
438,4,10,5.53333,1,1.36136
439,4,0.5,5.53333,3.26667,1.36136
440,4,2.4,5.53333,3.26667,1.36136
441,4,4.3,5.53333,3.26667,1.36136
442,4,6.2,5.53333,3.26667,1.36136
443,4,8.1,5.53333,3.26667,1.36136
444,4,10,5.53333,3.26667,1.36136
445,4,0.5,5.53333,5.53333,1.36136
446,4,2.4,5.53333,5.53333,1.36136
447,4,4.3,5.53333,5.53333,1.36136
448,4,6.2,5.53333,5.53333,1.36136
449,4,8.1,5.53333,5.53333,1.36136
450,4,10,5.53333,5.53333,1.36136
451,4,0.5,5.53333,7.8,1.36136
452,4,2.4,5.53333,7.8,1.36136
453,4,4.3,5.53333,7.8,1.36136
454,4,6.2,5.53333,7.8,1.36136
455,4,8.1,5.53333,7.8,1.36136
456,4,10,5.53333,7.8,1.36136
457,4,0.5,7.8,1,1.36136
458,4,2.4,7.8,1,1.36136
459,4,4.3,7.8,1,1.36136
